,order_type,procedure_name,count(*)
500,Nursing,VOID ON CALL TO PROCEDURE,1438
501,Nursing,FOLLOW PW MED: ABDOMINAL PAIN - ADMIT TO MED SURG PATHWAY,1422
502,ECHO,ECHOCARDIOGRAM W/ CONTRAST AGENT,1418
503,Imaging,XR HIP 2 OR 3 VIEWS LT,1380
504,Nursing,ELEVATE EXTREMITY,1377
505,Imaging,XR ERCP BILIARY AND PANCREATIC,1364
506,Imaging,XR FEMUR 2 VW LEFT,1361
507,Imaging,XR HIP 2 OR 3 VIEWS RT,1356
508,Nursing,TUBE SITE CARE,1351
509,Nursing,BOWEL ROUTINE,1348
510,Lab,MONONUCLEOSIS SCREEN,1347
511,Consult to Surgery,IP CONSULT TO NEUROSURGERY,1346
512,Nursing,FOLLOW PW MED: UTI ADULT - ADMIT TO MED SURG PATHWAY,1341
513,Lab,PREALBUMIN,1339
514,Imaging,IR ARTERIOGRAM HEAD,1335
515,PT,PT EVALUATION,1326
516,Microbiology,WOUND (AEROBIC) CULTURE WITH GRAM STAIN,1322
517,Imaging,XR FEMUR 2 VW RIGHT,1313
518,Lab,"KAPPA/LAMBDA, FREE LIGHT CHAINS",1309
519,Imaging,XR TIBIA AND FIBULA 2 VW RIGHT,1306
520,Lab,VITAMIN B12 LEVEL,1304
521,Imaging,XR ELBOW 2 VW LEFT,1304
522,Lab,EXTRA TUBE (URINE CONTAINER),1285
523,Imaging,CTA HEAD NECK W WO + CT CEREBRAL PERFUSION,1284
524,Lab,"PHENYTOIN LEVEL, TOTAL",1274
525,Lab,CEA,1261
526,Point of Care Testing,POC PLACENTAL ALPHA MICROGLOBULIN,1254
527,Imaging,XR THORACIC SPINE 3 VW,1250
528,Imaging,MRI LUMBAR W WO CONTRAST,1237
529,Lab,PLATELET FUNCTION PLAVIX,1237
530,Point of Care Testing,POC OCCULT BLOOD UP TO 3 CARDS,1232
531,Nursing,STRAPPING OF ELBOW OR WRIST,1230
532,Procedures,INTUBATION,1179
533,Lab,UNFRACTIONATED HEPARIN MONITORING,1176
534,Lab,EXTRA TUBE (BB PINK/LAV),1174
535,Nursing,HEIGHT AND WEIGHT,1156
536,Precaution,HIP PRECAUTIONS,1144
537,Lab,COMPLEMENT C4,1139
538,Nursing,"FOLLOW INTERDIS PW: TIA/STROKE, ISCHEMIC WITHOUT THROMBOLYSIS PATHWAY",1137
539,Diet,DIET RENAL DIABETIC,1136
540,Lab,COMPLEMENT C3,1133
541,Imaging,US ASPIRATION ABDOMEN,1127
542,Imaging,US OB LESS THAN 14 WKS ADDL + TRANSVAG,1118
543,Respiratory Care,IPV,1113
544,Imaging,CT SOFT TISSUE NECK W CONTRAST,1111
545,Lab,DIC PROFILE,1103
546,Restraints,"RESTRAINT, NONVIOLENT,NON SELFDESTR/SOFT WRIST",1102
547,Lab,"GC/CHLAMYDIA, URINE",1101
548,Imaging,US DOPPLER VENOUS ARM RIGHT,1087
549,SLP,SLP SWALLOW/LARYNGEAL SENSATION EVAL,1082
550,Imaging,US DOPPLER VENOUS ARM LEFT,1080
551,Nursing,EPIDURAL REMOVAL,1044
552,External Education,EDUCATION DIABETES: NUTRITION AND HEALTHY EATING - EMMI,1043
553,Imaging,CT ABDOMEN PELVIS W WO CONTRAST,1042
554,Imaging,XR THORACIC SPINE 2 VW,1032
555,Blood Bank,PRODUCT NEONATE PACKED CELLS (<4MONTHS),1032
556,Nursing,REASON FOR NOT PRESCRIBING ACE / ARB,1025
557,External Education,"EDUCATION DIABETES, TYPE 2 - EMMI",1020
558,ECHO,ECHO LIMITED WO DOPPLER,1011
559,Lab,"PH, URINE",1008
560,Blood Bank,BLOOD BANK DRAW ONLY,1003
561,Diet,DIET FIBER CONTROL,999
562,Nursing,PASSIVE RANGE OF MOTION,992
563,Imaging,US RENAL + DOPPLER,987
564,Imaging,XR SMALL BOWEL,981
565,Nursing,IRRIGATE CATHETER,976
566,Lab,"VALPROIC ACID LEVEL, TOTAL",970
567,Imaging,US OB FETAL DETAIL SINGLE GEST,950
568,External Education,EDUCATION PATIENT SATISFACTION: HOSPITAL DISCHARGE EXPECTATIONS - EMMI,948
569,OT,OT EVALUATION,948
570,Nursing,STOMA CARE,946
571,IV,ACCESS IMPLANTED PORT,942
572,External Education,EDUCATION PATIENT SATISFACTION: HOSPITAL VISIT EXPECTATIONS - EMMI,938
573,Blood Bank,PRODUCT NEONATAL PACKED CELLS (<4MONTHS),938
574,Respiratory Care,COPD EDUCATION RT,933
575,Nursing,FOLLOW PW MED: GASTROINTESTINAL BLEEDING PATHWAY,932
576,Lab,RHEUMATOID FACTOR,929
577,External Education,EDUCATION PATIENT SATISFACTION: AFTER DISCHARGE EXPECTATIONS - EMMI,927
578,Imaging,XR FOREARM 2 VW LEFT,923
579,Lab,FLOW CYTOMETRY PANEL,919
580,Lab,LUPUS ANTICOAGULANT W/REFLEX CONFIRMATION,917
581,Imaging,US OB LTD 1 OR MORE FETUSES,910
582,Consult,IP CONSULT TO PULMONARY REHAB,900
583,Imaging,XR FOREARM 2 VW RIGHT,897
584,Imaging,US OB 14+ WKS SINGLE GEST,892
585,Lab,FACTOR V LEIDEN MUTATION,891
586,Respiratory Care,HOME O2 EVAL (DESATURATION SCREEN),882
587,Nursing,SHOWER WITH WOUND COVERED,878
588,Respiratory Care,ABG PROFILE POINT OF CARE,873
589,Nursing,OVERHEAD WARMER,873
590,Nursing,CPM TO BEDSIDE,872
591,Nursing,REASON FOR NOT PRESCRIBING BETA BLOCKER,866
592,Microbiology,GIARDIA ANTIGEN,862
593,SLP,SLP EVALUATION,859
594,Diet,DIET FAT CONTROL,856
595,Imaging,MRI CERVICAL W WO CONTRAST,849
596,Nursing,CHEST TUBE TO CONTINUOUS SUCTION,832
597,Consult,IP CONSULT TO PODIATRY,832
598,Nursing,VISUAL ACUITY SCREENING,832
599,Nursing,FOLLOW PW ORT: HIP FRACTURE/HIP REPLACEMENT-ADULT,824
600,Lab,"EOSINOPHIL, RANDOM URINE",818
601,Lab,CARDIOLIPIN IGG/IGM,817
602,Lab,TSH REFLEXIVE,817
603,Precaution,SUICIDE PRECAUTIONS,816
604,Lab,"HSV BY PCR, NON-BLOOD",815
605,Imaging,US SCROTUM AND TESTICLES,813
606,Lab,"HEPATITIS B SURFACE AB, QUAL",811
607,Nursing,COLD COMPRESS DRESSING,809
608,Imaging,MRI THORACIC W WO CONTRAST,806
609,Restraints,"RESTRAINTS,RENEW,NONVIOLENT,NONSELFDESTR/SOFT WRIST",804
610,Respiratory Care,IPPB,792
611,Microbiology,"VIRUS CULTURE, RESPIRATORY",792
612,Imaging,US ABDOMEN COMPLETE,790
613,Imaging,XR SMALL BOWEL WATER SOL CONTRAST,790
614,Imaging,US TESTES W SCROTAL DOPPLER LTD,788
615,Lab,IMMUNOGLOBULINS IGG IGA IGM,788
616,Lab,GGT,786
617,Consult,IP CONSULT TO WOUND CARE,785
618,Lab,"OCCULT BLOOD, STOOL",780
619,Nursing,REASON FOR ADMINISTERING VANCOMYCIN,780
620,Dialysis,CONTINUOUS VENOVENOUS HEMODIALYSIS,780
621,Consult to Hospitalist,IP CONSULT TO HOSPITALIST,779
622,Lab,CANCER ANTIGEN 19-9,779
623,Lab,"ALBUMIN LEVEL, BODY FLUID",775
624,Imaging,XR LUMBAR SPINE 1 VW,774
625,Nursing,ORTHO CPM,773
626,Lab,EXTRA TUBE (RED),772
627,Lab,"PH, BODY FLUID",772
628,Imaging,MRI MRCP,768
629,Nursing,FOLLOW PW ORT: TOTAL KNEE-POST OP-ADULT PATHWAY,765
630,Blood Bank,DIRECT ANTIGLOBULIN TEST,763
631,Imaging,MRI CERVICAL WO CONTRAST,762
632,Lab,BLOOD GAS CORD ARTERIAL,762
633,Blood Bank,PREPARE FRESH FROZEN PLASMA,759
634,Lab,ALPHA FETOPROTEIN TUMOR MARKER,756
635,Nursing,"FOLLOW INTERDIS PW: SEPSIS, ADULT PATHWAY",754
636,Microbiology,FUNGUS BLOOD CULTURE,754
637,Imaging,IR BIOPSY,753
638,Nursing,DEEP TENDON REFLEX,752
639,Imaging,XR HUMERUS 2+ VW LEFT,748
640,Lab,HEPARIN INDUCED PLATELET ANTIBODY,748
641,Lab,PSA,745
642,PT,PT WOUND CARE,742
643,Imaging,XR ELBOW 2 VW RIGHT,730
644,Diet,DIET NEUTROPENIC - LOW BACTERIA,724
645,Imaging,XR ELBOW 3+ VW RIGHT,724
646,Lab,"HCG QUALITATIVE, URINE",711
647,Nursing,EYE CARE,708
648,Nursing,"FOLLOW PW PUL: COPD - ADULT, ADMIT TO MED SURG PATHWAY",707
649,Lab,METHEMOGLOBIN QUANTITATIVE,704
650,Nursing,ORAL SUCTION,704
651,Imaging,CT THORACIC SPINE WO CONTRAST,700
652,Procedures,LUMBAR PUNCTURE DIAGNOSTIC,698
653,Imaging,NM GI BLOOD LOSS,697
654,Lab,BLOOD GAS CORD VENOUS,695
655,Lab,PROTHROMBIN FACTOR II MUTATION ANALYSIS,695
656,Imaging,XR HUMERUS 2+ VW RIGHT,687
657,Imaging,US PELVIC TRANSVAGINAL + DOPPLER,684
658,Blood Bank,PREPARE PLATELETS,676
659,Nursing,"FOLLOW PW GEN: CELLULITIS, ADULT - ADMIT TO MED SURG PATHWAY",671
660,IV,ADD BLOOD TUBING TO IV SETUP,671
661,Imaging,XR LUMBAR PUNCTURE FLUORO NEEDLE GUIDANCE,670
662,External Education,EDUCATION DIABETES - CHECKING YOUR BLOOD SUGAR - EMMI,669
663,Nursing,"FOLLOW PW NEU: STROKE, INTRACEREBRAL HEMORRHAGE PATHWAY",666
664,Imaging,XR FINGER(S) LEFT,666
665,Lab,"AMYLASE, BODY FLUID",663
666,Lab,ANTITHROMBIN III ACTIVITY,662
667,Lab,"LEGIONELLA ANTIGEN, URINE",658
668,Nursing,ACTIVITIES OF DAILY LIVING,656
669,Isolation,PROTECTIVE ISOLATION,652
670,Nursing,HEAT TO AFFECTED AREA,647
671,SLP,SLP COGNITIVE LANGUAGE EVALUATION,642
672,Nursing,OBTAIN EXTRA BLOOD,641
673,Microbiology,HSV CULTURE,639
674,Imaging,XR FINGER(S) RIGHT,636
675,Respiratory Care,"OXYGEN,TRACH COLLAR",632
676,Nursing,CVP MONITORING,630
677,Imaging,US LIVER,629
678,Diet,DIET BLAND,625
679,Imaging,XR NECK SOFT TISSUE,620
680,Microbiology,IV CATHETER CULTURE,616
681,Imaging,CT HEAD W WO CONTRAST,614
682,Imaging,US DUPLEX ARTERIAL LEGS BILATERAL,608
683,Pathology,BONE MARROW ASPIRATION & BIOPSY,608
684,PT,PT RE EVALUATION,603
685,Imaging,CT ABSCESS DRAIN PERCUTANEOUS,603
686,Microbiology,CRYPTOSPORIDIUM ANTIGEN,601
687,Consult,IP CONSULT TO PSYCHIATRY,596
688,Consult to Surgery,IP CONSULT TO COLORECTAL SURGERY,590
689,Imaging,CT CHEST ABDOMEN PELVIS W WO CONT,590
690,Imaging,US RIGHT UPR QUADRANT,589
691,Lab,LEVETIRACETAM LEVEL,587
692,Wound Ostomy,WOUND OSTOMY EVAL AND TREAT,586
693,Respiratory Care,JET VENT,586
694,Imaging,MRI THORACIC WO CONTRAST,585
695,Dialysis,PERITONEAL DIALYSIS W/ CYCLER,584
696,Outpatient Referral,AMB REFERRAL TO PULMONARY,582
697,Blood Bank,BLOOD BANK ANTIBODY SCREEN,582
698,Imaging,US ASPIRATION LUNG RIGHT,578
699,Imaging,XR BRONCHOSCOPY FLUORO,559
700,Imaging,IR ARTERIOGRAM ABDOMINAL,551
701,Outpatient Referral,AMB REFERRAL TO HOME CARE,548
702,Imaging,US GB LIVER PANCREAS SPLEEN,548
703,External Education,EDUCATION SMOKING CESSATION - THINKING ABOUT QUITTING SMOKING - EMMI,544
704,Procedures,NOSEBLEED CONTROL,543
705,Nursing,FOLLOW INTERDIS PW: INVASIVE MECHANICAL VENTILATION-ADULT,542
706,Imaging,MRI BRAIN W CONTRAST,539
707,Lab,PHENOBARBITAL LEVEL,535
708,Nursing,REMOVE STAPLES,531
709,Imaging,US GUIDE NEEDLE PLACEMENT,529
710,Nursing,"FOLLOW INTERDIS PW: PNEUMONIA - ADULT, ADMIT TO MED SURG PATHWAY",519
711,Imaging,US DUPLEX ARTERIAL LEG RIGHT,518
712,Outpatient Referral,AMB REFERRAL TO NEUROLOGY,518
713,Lab,"POC BLOOD GAS, LYTES AND H+H",517
714,Lab,HOMOCYSTEINE,515
715,Nursing,PHYSICIAN REMINDER TO ORDER/SCHEDULE E,514
716,Nursing,PHYSICIAN REMINDER TO ORDER/SCHEDULE D,513
717,Respiratory Care,NITRIC OXIDE,512
718,Procedures,UPPER EXTREMITY DISLOCATION TREATMENT,509
719,Lab,METHOTREXATE LEVEL,507
720,Nursing,MEASURE POST VOID RESIDUAL,505
721,Lab,SMOOTH MUSCLE ANTIBODY WITH REFLEX TO TITER,504
722,Blood Bank,NEONATAL TYPE AND SCREEN (<4MONTHS),504
723,Imaging,XR UPR GI AIR CONT W SBFT,499
724,Nursing,ONCOLOGY TREATMENT PARAMETERS A,498
725,Imaging,XR MANDIBLE LESS THAN 4 VW,494
726,Nursing,STRAPPING OF KNEE,494
727,Imaging,XR THORACOLUMBAR SPINE 2 VW,492
728,Nursing,INSERT RECTAL TUBE,490
729,Imaging,IR ARTERIOGRAM EXT LOW,488
730,Imaging,XR FLUORO NEEDLE GUIDANCE,486
731,Respiratory Care,RT TRACH CARE,485
732,Imaging,CT THORACIC LUMBAR WO CONTRAST,483
733,PT,PT GAIT TRAINING,482
734,Lab,HEPATITIS C ANTIBODY,480
735,PT,PT STRENGTHENING,480
736,Imaging,IR INJECTION,479
737,Imaging,US ASPIRATION LUNG LEFT,476
738,Imaging,CTA HEAD W WO CONTRAST,476
739,Imaging,NM BONE SCAN WHOLE BODY,474
740,Lab,MITOCHONDRIAL ANTIBODY,473
741,Nursing,FLUSH / IRRIGATE TUBE,472
742,Lab,ALBUMIN LEVEL,471
743,Lab,"CELL COUNT, BONE MARROW",467
744,Lab,"TICK-BORNE PANEL, PCR",464
745,Nursing Transfusion,TRANSFUSE PLATELETS IN ML,463
746,Microbiology,"CRYPTOCOCCAL ANTIGEN, CSF",460
747,Nursing,"FOLLOW PW NEU: STROKE, ISCHEMIC WITH THROMBOLYSIS PATHWAY",456
748,Microbiology,FUNGUS STAIN,454
749,Imaging,US DUPLEX ARTERIAL LEG LEFT,453
750,Nursing,AMBULATE WITH ASST DEVICE,452
751,Lab,CORTISOL STIMULATION TEST,450
752,Nursing,ENCOURAGE FLUIDS,449
753,Imaging,CTA CHEST W WO CONTRAST,446
754,Lab,"FOLATE, SERUM",444
755,Imaging,XR KNEE 3 VW BILAT,443
756,Lab,"TRIGLYCERIDE, BODY FLUID",440
757,Imaging,US LOW EXT VEN DUPLEX COMP BILAT,438
758,Lab,ROCKY MTN SPOTTED FEVER AB IGG/IGM RFLX TO TITER,437
759,Imaging,CT THERAPY SIMULATION,427
760,Diet,DIET SOFT DENTAL,426
761,Microbiology,"VIRUS CULTURE, NON-RESPIRATORY",423
762,Blood Bank,NEONATE TYPE AND SCREEN (<4MONTHS),422
763,Imaging,NM HEPATOBIL W EJECT FRACTION,422
764,Nursing,APPLY SPINAL BRACE,421
765,Imaging,NM HEPATOBILIARY SCAN,420
766,Imaging,XR RIBS UNILATERAL 2 VW LEFT,419
767,Lab,CERULOPLASMIN,418
768,Lab,HIV RAPID SCREEN,417
769,Imaging,XR RIBS UNILATERAL 2 VW RIGHT,417
770,Lab,CARBAMAZEPINE LEVEL,414
771,Lab,"PROTEIN ELECTROPHORESIS, 24 HR URINE",414
772,Microbiology,VRE CULTURE,412
773,Nursing,"FOLLOW PW MED: SEVERE SEPSIS, ADULT PATHWAY",411
774,Lab,IMMUNOFIXATION,410
775,Imaging,XR UPR GI WATER SOL CONTRAST,408
776,Outpatient Referral,AMB REFERRAL TO FAMILY PRACTICE,408
777,Imaging,CT GUIDE PERCUT DRAIN W CATH,407
778,Respiratory Care,CPAP NASAL PRONGS,400
779,Lab,C-PEPTIDE,399
780,Imaging,US FETAL BIOPHYSICAL PROF WO NST,397
781,Lab,ELECTROLYTE PANEL,397
782,Lab,GLOMERULAR BASEMENT MEMBRANE ANTIBODY,395
783,Lab,STONE ANALYSIS QUANTITATIVE,395
784,Lab,COPPER LEVEL,391
785,Isolation,CONTACT AND DROPLET ISOLATION,391
786,Nursing,TAP WATER ENEMA,387
787,Imaging,XR HIP INTRAOPERATIVE RIGHT,387
788,Nursing,FOLLOW INTERDIS PW: TOTAL KNEE-POST OP-ADULT PATHWAY,386
789,Imaging,XR HIP INTRAOPERATIVE LEFT,386
790,Lab,PROTEIN TOTAL,385
791,Imaging,CT ABDOMEN WO CONTRAST,385
792,Lab,CK TOTAL AND CKMB,384
793,Nursing,APPLY CONDOM CATHETER,381
794,Lab,IGE,380
795,Nursing,CHEST TUBE TO WATER SEAL,377
796,Lab,CYCLIC CITRULLINATED PEPTIDE AB IGG,377
797,Procedures,ORTHOPEDIC INJURY TREATMENT,377
798,Imaging,XR ANKLE 2 VW LEFT,377
799,Nursing,FOLLOW PW MED: GI OBSTRUCTION NON-SURGICAL (BOWEL OBSTRUCT OR ILEUS)PW,375
800,Lab,"WEST NILE VIRUS, CSF BY PCR",372
801,Lab,PROTEIN C ACTIVITY,371
802,Imaging,PET TUMOR IMG W CT SKL BSE MID THG,369
803,Lab,PROTEIN S ACTIVITY,368
804,Blood Bank,RH (D) TYPE,366
805,Nursing,NASAL SUCTION,365
806,Lab,"CHLORIDE, RANDOM URINE",365
807,Lab,PROLACTIN,364
808,Nursing,"FOLLOW PW ECR: DKA/HHS, ADULT ADMISSION PATHWAY",364
809,Imaging,XR UPR GI AND SMALL BOWEL,364
810,Nursing,LUMBAR PUNCTURE TRAY TO BEDSIDE,363
811,Imaging,CT SOFT TISSUE NECK CHEST W CONT,362
812,Nursing,CHECK TEMPERATURE,362
813,Nursing,STRAPPING OF HAND OR FINGER,359
814,External Education,EDUCATION DIABETES: CARBOHYDRATE COUNTING - EMMI,358
815,Lab,"VDRL, CSF",357
816,Nursing,APPLICATION SHORT LEG SPLINT,356
817,Consult,IP CONSULT TO RHEUMATOLOGY,353
818,Nursing,LEG BAG DURING THE DAY,353
819,Imaging,XR ANKLE 2 VW RIGHT,351
820,Lab,"PHENYTOIN LEVEL, FREE",349
821,Nursing,FOLLOW PW PUL: RESP FAILURE: NON-INVASIVE MECH VENT (NPPV/CPAP) PATHWA,349
822,Consult,IP CONSULT TO INTERNAL MEDICINE,347
823,Diet,DIET CUSTOM,346
824,Lab,EXTRA TUBE (GRAY),345
825,Respiratory Care,SPUTUM COLLECTION,345
826,Lab,LMW HEPARIN MONITORING,343
827,Imaging,XR INFANT CHEST AND ABD 2 VW,341
828,Lab,CMV BY PCR,340
829,Code Status,LIMITED RESUSCITATION,339
830,External Education,EDUCATION DIABETES - INJECTING INSULIN - EMMI,337
831,Blood Bank,PRODUCT CRYOPRECIPITATE,336
832,Procedures,REMOVAL OF FOREIGN BODY,333
833,Procedures,BASIC FRACTURE AND FRACTURE DISLOCATION TREATMENT,332
834,Blood Bank,PRODUCT NEONATAL PLATELETS,331
835,Respiratory Care,SPUTUM INDUCTION,330
836,Respiratory Care,CPAP TREATMENT- NASAL MASK,329
837,Lab,"VITAMIN D 1,25 DIHYDROXY",328
838,Nursing,APPLICATION SHORT ARM SPLINT STATIC,328
839,Lab,HISTOPLASMA ANTIGEN,324
840,Lab,LITHIUM LEVEL,323
841,Lab,CANCER ANTIGEN 125,320
842,Imaging,CT GUIDED BIOPSY,318
843,Lab,T3,318
844,Consult,IP CONSULT TO OTOLARYNGOLOGY,317
845,Lab,CMV IGG AND IGM ANTIBODIES,316
846,Nursing,ONCOLOGY NURSING COMMUNICATION A,314
847,Imaging,US OB TRANSVAGINAL,313
848,Nursing,NURSING PEAK AND TROUGH COMMUN,312
849,Imaging,XR SACRUM AND COCCYX,309
850,Nursing Transfusion,TRANSFUSE CRYOPRECIPITATE,308
851,Admission,ED PLACE PATIENT AS OBSERVATION,307
852,Imaging,XR WRIST 2 VW LEFT,306
853,Nursing,FOLLOW INTERDIS PW: HIP FRACTURE/HIP REPLACEMENT-ADULT,305
854,Imaging,CT SOFT TISSUE NECK WO CONTRAST,305
855,IV,INSERT UMBILICAL VENOUS CATH,304
856,Nursing,FOLLOW INTERDIS PW: UTI ADULT - ADMIT TO MED SURG PATHWAY,303
857,Nursing,FOLLOW PW OBG: VAGINAL BIRTH POSTPARTUM PATHWAY,300
858,Imaging,US ASPIRATION PLEURA RIGHT,295
859,Consult,IP CONSULT TO CARDIAC REHAB,295
860,Outpatient Referral,AMB REFERRAL TO SMOKING CESSATION PROGRAM,295
861,Nursing,CALORIE COUNT,295
862,Nursing,FOLLOW INTERDIS PW: ABDOMINAL PAIN - ADMIT TO MED SURG PATHWAY,294
863,Lab,IGG,294
864,Lab,"MYOGLOBIN, URINE",291
865,Imaging,CT PELVIS W CONTRAST,290
866,Respiratory Care,NASOTRACHEAL SUCTIONING,287
867,Imaging,XR NASAL BONES,287
868,Imaging,XR ESOPHAGUS BARIUM SWALLOW,287
869,Imaging,XR KNEE 1 OR 2 VW BILAT,286
870,Lab,ALPHA 1 ANTITRYPSIN PHENOTYPE,285
871,ECHO,ECHO TRANSESOPHAGEAL WO DOPPLER,285
872,Imaging,XR HIP 1 VW LEFT,284
873,Imaging,IR SPINAL INTERVENTION,283
874,Lab,CRYSTAL IDENTIFICATION,283
875,Imaging,CT CHEST W WO CONTRAST,283
876,Nursing,FOLLOW NON-ORDERS PATHWAY,283
877,Nursing,REASON FOR NOT PRESCRIBING STATIN MEDICATION,282
878,Nursing,BUCK'S TRACTION,282
879,Procedures,BLADDER CATHERIZATION,282
880,Imaging,US PELVIC TRANSVAGINAL,281
881,Lab,IGG SUBCLASSES,281
882,Nursing,BEDREST LEG EXTENDED,280
883,Nursing,APPLY/REMOVE SPECIALTY BOOTS,280
884,PT,PT CONTINUOUS PASSIVE MOTION MACHINE,279
885,Imaging,XR WRIST 2 VW RIGHT,279
886,Imaging,XR TOE(S) LEFT,278
887,Nursing,FOLLOW INTERDIS PW: GASTROINTESTINAL BLEEDING PATHWAY,278
888,Lab,ANA PANEL,273
889,Procedures,GENERAL PROCEDURE,272
890,Lab,"HCG QUALITATIVE, BLOOD",271
891,Imaging,US ABD PELV ART VEIN LTD,271
892,Nursing,FOLLOW  PW SUR: LAPAROSCOPIC CHOLECYSTECTOMY  PATHWAY,271
893,Imaging,XR HIP 1 VW RIGHT,269
894,Nursing,STRAPPING OF SHOULDER,269
895,Imaging,XR ENEMA WATER SOLUBLE,269
896,Lab,"HEPATITIS C RNA PCR, QUANTITATIVE",269
897,Imaging,XR TOE(S) RIGHT,268
898,Lab,"SEROTONIN RELEASE ASSAY, UNFRACTIONATED",268
899,Lab,PROTEIN C & S ACTIVITY,267
900,Nursing,"FOLLOW PW CAR: HEART FAILURE - ADULT, ADMIT TO TELEMETRY AND MED SUR P",266
901,Lab,HEPATITIS B CORE AB TOTAL,265
902,Imaging,CT DRAINAGE ABSCESS OR CYST,265
903,Imaging,XR ELBOW 3+ VW LEFT,262
904,Lab,QUANTIFERON TB GOLD,262
905,Lab,LYME ANTIBODY SCREEN W/REFLEX WB,262
906,Point of Care Testing,"POC OCCULT BLOOD, GASTRIC",260
907,Lab,WEST NILE VIRUS AB IGG/IGM,259
908,Lab,BASIC METABOLIC PANEL PLUS (ADD ON CMP TO BMP),258
909,Imaging,MRA HEAD WO CONTRAST,258
910,Imaging,NM LUNG VENT PERF AEROSOL,257
911,Lab,"BETA 2 MICROGLOBULIN, SERUM",256
912,Lab,ASPERGILLUS GALACTOMANNAN ANTIGEN,256
913,Lab,METHYLMALONIC ACID,255
914,Nursing,LAB COLLECTION COMMUNICATION ORDER A,255
915,Consult,IP CONSULT TO INTENSIVIST,254
916,Lab,ROTAVIRUS ANTIGEN,254
917,Lab,PLATELET FUNCTION ASPIRIN,253
918,Lab,AST,253
919,Lab,ANTISTREPTOLYSIN QUANTITATIVE,253
920,Lab,"EBV BY PCR, NON BLOOD",252
921,Lab,GLUCOSE FASTING,250
922,Lab,GLUCOSE 2 HR POST PRANDIAL,249
923,Outpatient Referral,AMB REFERRAL TO GASTROENTEROLOGY,247
924,Lab,"CORTISOL, 60 MINUTE",247
925,Lab,TORCH IGM,247
926,Lab,"CORTISOL, 30 MINUTE",247
927,Lab,"CORTISOL, BASELINE",247
928,Imaging,IR VENOUS LOW EXT,246
929,Nursing,DAILY NET DIURESIS GOAL,246
930,Respiratory Care,BRONCHOSCOPY,245
931,Electrophysiology,NM CARDIAC MUGA SCAN,244
932,Lab,IRON LEVEL,244
933,Respiratory Care,AMBULATION BY RESPIRATORY CARE,243
934,Nursing,"FOLLOW INTERDIS PW: STROKE, INTRACEREBRAL HEMORRHAGE PATHWAY",242
935,Lab,LIVER KIDNEY MICROSOMAL ANTIBODY,242
936,Procedures,FEEDING TUBE INSERTION,241
937,Imaging,IR ARTERIOGRAM THORAX,240
938,Nursing,REHAB EVALUATION,238
939,Lab,"LEGIONELLA ANTIBODY, SERUM",238
940,Imaging,XR SHOULDER 1 VW RIGHT,237
941,Imaging,IR EMBOLIZATION,237
942,Lab,ALPHA 1 ANTITRYPSIN,237
943,Nursing,AMNIOINFUSION THROUGH IUPC,236
944,Nursing,"FOLLOW INTERDIS PW: STROKE, ISCHEMIC WITH THROMBOLYSIS PATHWAY",236
945,Imaging,XR CLAVICLE LEFT,236
946,SLP,SLP COMMUNICATION EVALUATION,235
947,Lab,FETAL FIBRONECTIN,235
948,Consult,IP CONSULT TO PHARMACY-ANTICOAGULATION EDU,233
949,Lab,CARBOXYHEMOGLOBIN,233
950,Lab,"ELECTROLYTE PANEL, STOOL",233
951,Microbiology,CMV CULTURE,232
952,Lab,"CREATININE, BODY FLUID",232
953,IV,DEACCESS IMPLANTED PORT,231
954,Dialysis,THERAPEUTIC PLASMA EXCHANGE,230
955,Lab,"CHROMOSOME ANALYSIS CONGENITAL DISORDERS, BLOOD",229
956,Microbiology,EYE CULTURE WITH GRAM STAIN,229
957,Imaging,CTA ABD PELVIS W WO CONTRAST,227
958,Lab,"PH, VENOUS",227
959,Lab,HIGH SENSITIVITY CRP,226
960,Lab,"HELICOBACTER PYLORI ANTIGEN, STOOL",225
961,Imaging,IR IVC FILTER,225
962,Blood Bank,PREPARE RED BLOOD CELLS IN ML,224
963,Nursing,APPLY ABDUCTION PILLOW,224
964,Imaging,NM GASTRIC EMPTYING,222
965,Procedures,LOWER EXTREMITY DISLOCATION TREATMENT,222
966,Consult,IP CONSULT TO RADIATION ONCOLOGY,221
967,Imaging,XR FLUORO NG TUBE PLACEMENT SI,221
968,Procedures,CENTRAL LINE INSERTION,220
969,Imaging,US DOPPLER VENOUS ARM BILATERAL,220
970,Lab,ALT,215
971,Imaging,US HEAD NECK TISSUES,214
972,Lab,NOROVIRUS BY PCR,214
973,Lab,CANCER ANTIGEN 15-3,213
974,Procedures,DIGITAL BLOCK,213
975,Lab,"CREATININE, 24 HR URINE",212
976,Diet,DIET DIALYSIS,211
977,Lab,VITAMIN B6 LEVEL,211
978,Imaging,US PELVIS + TV + DOPPLER,210
979,Equipment,WOUND VACUUM SYSTEM,209
980,Isolation,AIRBORNE ISOLATION,208
981,Microbiology,AFB BLOOD CULTURE,208
982,Lab,KLEIHAUER-BETKE PREP,207
983,Imaging,US CHEST,207
984,PT,PT CRUTCH TRAINING,206
985,IV,INFUSION THERAPY,206
986,Imaging,CT ABDOMEN W WO CONTRAST,205
987,Lab,EBV ANTIBODY PANEL,205
988,Lab,CRYOGLOBULIN/CRYOFIBRINOGEN,205
