,admitting_diagnosis,count(admitting_diagnosis)
2349,Other ovarian cysts,7
2350,"Nodular lymphoma, unspecified site, extranodal and solid organ sites",7
2351,Acute infective polyneuritis,7
2352,"Twin pregnancy, unspecified as to episode of care",7
2353,"Localized osteoarthrosis not specified whether primary or secondary, hand",7
2354,"Aplastic anemia, unspecified",7
2355,"Equinus deformity of foot, acquired",7
2356,"Heat exhaustion, unspecified",7
2357,"Preterm labor second trimester with preterm delivery second trimester, not applicable or unspecified",7
2358,"Other tear of lateral meniscus, current injury, right knee, subsequent encounter",7
2359,Malignant neoplasm of body of pancreas,7
2360,"Noninflammatory disorder of ovary, fallopian tube and broad ligament, unspecified",7
2361,Encounter for change or removal of drains,7
2362,Unspecified hemorrhoids,7
2363,Other viral diseases complicating childbirth,7
2364,Encounter for long-term (current) use of other medications,7
2365,"Supervision of other high risk pregnancies, second trimester",7
2366,Occlusion and stenosis of bilateral carotid arteries,7
2367,"Open wound of hand except finger(s) alone, complicated",7
2368,Left lower quadrant abdominal tenderness,7
2369,"Mild to moderate pre-eclampsia, complicating childbirth",7
2370,Other closed fractures of upper end of humerus,7
2371,"Unspecified intracranial injury with loss of consciousness of 30 minutes or less, initial encounter",7
2372,"Maternal care for malpresentation of fetus, unspecified, not applicable or unspecified",7
2373,"Malignant neoplasm of brain, unspecified",7
2374,Unspecified venous (peripheral) insufficiency,7
2375,Antineoplastic chemotherapy induced anemia,7
2376,Unspecified disturbances of skin sensation,7
2377,Undescended testis,7
2378,Benign neoplasm of stomach,7
2379,Other pruritus,7
2380,Other disorders of bone and cartilage,7
2381,Malignant neoplasm of central portion of female breast,7
2382,"Open bite, right lower leg, initial encounter",7
2383,"Effusion, right elbow",7
2384,"Other bursitis of hip, left hip",7
2385,Infection of obstetric surgical wound,7
2386,"Crushing injury of right middle finger, initial encounter",7
2387,Closed Colles' fracture,7
2388,"Vascular disorder of intestine, unspecified",7
2389,Unspecified abdominal hernia without obstruction or gangrene,7
2390,Other diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism complicating childbirt,7
2391,"Subarachnoid hemorrhage following injury, without mention of open intracranial wound, brief (less than 1 hour) loss of conscious",7
2392,Other nervous system complications,7
2393,Other chronic diseases of tonsils and adenoids,7
2394,Other diseases of spleen,7
2395,"Open bite of left index finger without damage to nail, initial encounter",7
2396,Aneurysm of artery of lower extremity,7
2397,Hypovolemia,7
2398,"Infection and inflammatory reaction due to other vascular device, implant, and graft",7
2399,"Abdominal or pelvic swelling, mass, or lump, right upper quadrant",7
2400,"Other specified complication of internal prosthetic devices, implants and grafts, not elsewhere classified, initial encounter",7
2401,"Disease of biliary tract, unspecified",7
2402,Malignant neoplasm of posterior wall of bladder,7
2403,Intestinal adhesions (bands) with obstruction (postprocedural) (postinfection),7
2404,Other retroperitoneal abscess,7
2405,"Toxic effect of unspecified spider venom, accidental (unintentional), initial encounter",7
2406,Hypertonicity of bladder,7
2407,"Primary uterine inertia, with delivery",7
2408,"Other idiopathic scoliosis, lumbar region",7
2409,"Unqualified visual loss, one eye",7
2410,"Malignant neoplasm of overlapping sites of rectum, anus and anal canal",7
2411,"Insect bite (nonvenomous) of right shoulder, initial encounter",7
2412,"Strain of muscle, fascia and tendon of other parts of biceps, left arm, initial encounter",7
2413,"Unspecified ovarian cyst, unspecified side",7
2414,"Subarachnoid hemorrhage following injury, without mention of open intracranial wound, unspecified state of consciousness",7
2415,"Diseases of the digestive system complicating pregnancy, third trimester",7
2416,Papanicolaou smear of cervix with low grade squamous intraepithelial lesion (LGSIL),7
2417,"Unspecified open wound of right hand, initial encounter",7
2418,"Unspecified abortion, without mention of complication, incomplete",7
2419,"Malignant neoplasm of other sites of rectum, rectosigmoid junction, and anus",7
2420,"Contusion of left lesser toe(s) without damage to nail, initial encounter",7
2421,"Anterior subcapsular polar age-related cataract, left eye",7
2422,Atherosclerosis of native arteries of the extremities with intermittent claudication,7
2423,"Other specified joint disorders, right hip",7
2424,Foreign body in anus and rectum,7
2425,Benign neoplasm of ascending colon,7
2426,"Encounter for supervision of normal pregnancy, unspecified, second trimester",7
2427,"Closed fracture of metacarpal bone(s), site unspecified",7
2428,"Arteriovenous fistula, acquired",7
2429,Closed fracture of patella,7
2430,Disturbance of salivary secretion,7
2431,"Intrapartum hemorrhage, unspecified",7
2432,"Burn of first degree of right hand, unspecified site, initial encounter",7
2433,Benign neoplasm of long bones of lower limb,7
2434,Contact with and (suspected) exposure to rabies,7
2435,"Placenta previa without hemorrhage, antepartum",7
2436,"Pain in arm, unspecified",7
2437,Dysarthria,7
2438,"Pathological fracture, other site, initial encounter for fracture",7
2439,Cellulitis and abscess of mouth,7
2440,Effusion of forearm joint,7
2441,"Complete placenta previa with hemorrhage, third trimester",7
2442,"Diffuse large b-cell lymphoma, intra-abdominal lymph nodes",7
2443,"Other specified injuries of lower back, initial encounter",7
2444,"Puncture wound without foreign body of left hand, initial encounter",7
2445,Achilles bursitis or tendinitis,7
2446,Personal history of fall,7
2447,Benign neoplasm of left breast,7
2448,"Acute alcoholic intoxication in alcoholism, unspecified",7
2449,Secondary polycythemia,7
2450,"Subluxation of metatarsophalangeal joint of left lesser toe(s), initial encounter",7
2451,Dermatitis due to food taken internally,7
2452,"Twin pregnancy, dichorionic/diamniotic, unspecified trimester",7
2453,Postprocedural hemorrhage of a genitourinary system organ or structure following a genitourinary system procedure,7
2454,Closed fracture of unspecified part of fibula with tibia,7
2455,Intrinsic (urethral) sphincter deficiency (ISD),7
2456,Other acute appendicitis,7
2457,"Single liveborn, born before admission to hospital",7
2458,"Barrett's esophagus with dysplasia, unspecified",7
2459,Benign neoplasm of extrahepatic bile ducts,7
2460,Other disorder of circulatory system,7
2461,Malignant neoplasm of connective and soft tissue of pelvis,7
2462,Other iron deficiency anemias,7
2463,"Leakage of breast prosthesis and implant, initial encounter",7
2464,"Pyogenic arthritis, unspecified",6
2465,"Gestational diabetes mellitus in childbirth, insulin controlled",6
2466,Multiple closed pelvic fractures without disruption of pelvic circle,6
2467,"Polyneuropathy, unspecified",6
2468,Arteriovenous malformation of cerebral vessels,6
2469,"Hypertensive heart and chronic kidney disease with heart failure and with stage 5 chronic kidney disease, or end stage renal dis",6
2470,"Supervision of elderly primigravida, unspecified trimester",6
2471,Malignant neoplasm of splenic flexure,6
2472,Closed fracture of second cervical vertebra without mention of spinal cord injury,6
2473,"Fluid overload, unspecified",6
2474,Sprain of metacarpophalangeal (joint) of hand,6
2475,"Crushing injury of right hand, initial encounter",6
2476,Alcohol withdrawal delirium,6
2477,Thrombotic microangiopathy,6
2478,Other specified disorders of urethra,6
2479,Malignant carcinoid tumor of the appendix,6
2480,"Other instability, left ankle",6
2481,"Unspecified open wound, right foot, initial encounter",6
2482,Right lower quadrant abdominal tenderness,6
2483,"Other specified injuries of right hip, initial encounter",6
2484,Other symptoms referable to ankle and foot joint,6
2485,Other specified disorder of penis,6
2486,"Lateral epicondylitis, right elbow",6
2487,Closed fracture of subcondylar process of mandible,6
2488,"Unspecified inflammatory spondylopathy, cervical region",6
2489,Maternal care due to uterine scar from other previous surgery,6
2490,"Pre-existing hypertension with pre-eclampsia, complicating childbirth",6
2491,Neoplasm of unspecified behavior of endocrine glands and other parts of nervous system,6
2492,Erosion of implanted vaginal mesh and other prosthetic materials to surrounding organ or tissue,6
2493,Benign neoplasm of short bones of upper limb,6
2494,"Cystitis, unspecified",6
2495,"Other acute osteomyelitis, left ankle and foot",6
2496,"Abrasion, left lower leg, initial encounter",6
2497,"Atherosclerosis of native arteries of the extremities, unspecified",6
2498,"Displaced supracondylar fracture without intracondylar extension of lower end of right femur, initial encounter for closed fract",6
2499,Basal cell carcinoma of skin of other parts of face,6
2500,Other benign mammary dysplasias of left breast,6
2501,Other nontraumatic intracerebral hemorrhage,6
2502,Malignant neoplasm of overlapping sites of right bronchus and lung,6
2503,Unspecified part of closed fracture of clavicle,6
2504,"Other specified injuries of other specified part of neck, initial encounter",6
2505,Anemia in other chronic diseases classified elsewhere,6
2506,Regional enteritis of large intestine,6
2507,Other shock without mention of trauma,6
2508,"Right upper quadrant abdominal swelling, mass and lump",6
2509,Chronic or unspecified duodenal ulcer with hemorrhage,6
2510,"Otalgia, unspecified ear",6
2511,"Abdominal or pelvic swelling, mass, or lump, left upper quadrant",6
2512,Other acquired deformities of left foot,6
2513,Other biomechanical lesions of lumbar region,6
2514,"Disorder of teeth and supporting structures, unspecified",6
2515,Other specified cataract,6
2516,"Malar and maxillary bones, closed fracture",6
2517,Internal thrombosed hemorrhoids,6
2518,"Chondromalacia, left knee",6
2519,"Open bite of left ring finger without damage to nail, initial encounter",6
2520,Benign neoplasm of nasopharynx,6
2521,Unspecified condition associated with female genital organs and menstrual cycle,6
2522,"Spinal stenosis, thoracic region",6
2523,Unspecified disorder of esophagus,6
2524,Acquired cyst of kidney,6
2525,Other inflammatory disorders of penis,6
2526,Prolonged pregnancy,6
2527,"Otorrhea, left ear",6
2528,"Other sprain of right hip, initial encounter",6
2529,"Other disorders of synovium, tendon, and bursa",6
2530,Other wrist sprain and strain,6
2531,Spontaneous ecchymoses,6
2532,Sprain and strain of other specified sites of knee and leg,6
2533,"Maternal care for other specified fetal problems, unspecified trimester, not applicable or unspecified",6
2534,"Hydrocephalus, unspecified",6
2535,"Displaced midcervical fracture of left femur, initial encounter for closed fracture",6
2536,Periapical abscess without sinus,6
2537,Unspecified hereditary and idiopathic peripheral neuropathy,6
2538,Acute tonsillitis,6
2539,"Abrasion of left forearm, initial encounter",6
2540,Mechanical complication due to intrauterine contraceptive device,6
2541,"Respiratory distress of newborn, unspecified",6
2542,"Discitis, unspecified, lumbosacral region",6
2543,"Malignant neoplasm of nipple and areola, left female breast",6
2544,Abnormal weight gain,6
2545,Hyperosmolality and/or hypernatremia,6
2546,"Triplet liveborn infant, delivered by cesarean",6
2547,Septic shock,6
2548,Infection (chronic) of amputation stump,6
2549,Pain in unspecified hand,6
2550,"Unspecified effects of drowning and nonfatal submersion, initial encounter",6
2551,Other specified hypertrophic and atrophic condition of skin,6
2552,"Arteriovenous malformation, site unspecified",6
2553,"Insect bite (nonvenomous) of right hand, initial encounter",6
2554,"Plica syndrome, right knee",6
2555,"Infective otitis externa, unspecified",6
2556,"Abnormality in fetal heart rate/rhythm, delivered, with or without mention of antepartum condition",6
2557,Perianal venous thrombosis,6
2558,Perforation of esophagus,6
2559,Explosive personality disorder,6
2560,"Synovial cyst, unspecified",6
2561,"Gestational diabetes mellitus in pregnancy, controlled by oral hypoglycemic drugs",6
2562,"Other diseases of pharynx, not elsewhere classified",6
2563,Sepsis due to methicillin resistant Staphylococcus aureus,6
2564,Sprain and strain of other specified sites of hip and thigh,6
2565,"Infection and inflammatory reaction due to internal right hip prosthesis, initial encounter",6
2566,Foreign body in cornea,6
2567,Chronic dacryocystitis,6
2568,Enterostomy malfunction,6
2569,Spontaneous bacterial peritonitis,6
2570,"Pterygium, unspecified",6
2571,Insufficient prenatal care,6
2572,"Respiratory failure, unspecified, unspecified whether with hypoxia or hypercapnia",6
2573,Toxic effect of soaps and detergents,6
2574,"Contusion of right ankle, initial encounter",6
2575,"Insect bite (nonvenomous) of left hand, initial encounter",6
2576,"Epilepsy complicating pregnancy, childbirth, or the puerperium, antepartum condition or complication",6
2577,"Displaced fracture of olecranon process without intraarticular extension of left ulna, initial encounter for closed fracture",6
2578,"Chronic myeloid leukemia, without mention of having achieved remission",6
2579,"Obstruction caused by malposition of fetus at onset of labor, antepartum",6
2580,Acute embolism and thrombosis of unspecified deep veins of right lower extremity,6
2581,"Pregnancy related renal disease, third trimester",6
2582,Burn of unspecified degree of unspecified site of face and head,6
2583,"Hallux valgus (acquired), unspecified foot",6
2584,"Primary osteoarthritis, left ankle and foot",6
2585,Pelvic congestion syndrome,6
2586,Malignant neoplasm of connective and soft tissue of abdomen,6
2587,Open fracture of middle or proximal phalanx or phalanges of hand,6
2588,"Drug dependence, antepartum",6
2589,"Small cell B-cell lymphoma, unspecified site",6
2590,Unspecified gastritis and gastroduodenitis without mention of hemorrhage,6
2591,Other diseases of tongue,6
2592,Malignant neoplasm of dome of urinary bladder,6
2593,"Effusion, right wrist",6
2594,Hemangioma of skin and subcutaneous tissue,6
2595,"Laceration without foreign body, right ankle, initial encounter",6
2596,Postprocedural hemorrhage of a digestive system organ or structure following a digestive system procedure,6
2597,Streptococcal sore throat,6
2598,Abscess of lung,6
2599,"Laceration without foreign body of left lesser toe(s) without damage to nail, initial encounter",6
2600,"Traumatic amputation of thumb (complete) (partial), without mention of complication",6
2601,"Multiple and unspecified open wound of lower limb, without mention of complication",6
2602,Mechanical loosening of prosthetic joint,6
2603,"Sprain of carpal joint of left wrist, initial encounter",6
2604,"Acute serous otitis media, recurrent, bilateral",6
2605,Other vomiting in newborn,6
2606,Supervision of other high-risk pregnancy,6
2607,Intraspinal abscess,6
2608,"Other instability, left shoulder",6
2609,"Unspecified fracture of sacrum, initial encounter for closed fracture",6
2610,Metabolic encephalopathy,6
2611,"Laceration without foreign body of unspecified toe without damage to nail, initial encounter",6
2612,Contusion of thigh,6
2613,Mallet finger,6
2614,Obstructed labor due to shoulder dystocia,6
2615,"Abrasion of right eyelid and periocular area, initial encounter",6
2616,"Osteoarthrosis, unspecified whether generalized or localized, unspecified site",6
2617,"Dislocation of radiocarpal joint of right wrist, initial encounter",6
2618,Other specified retention of urine,6
2619,"Joint derangement, unspecified",6
2620,Acute embolism and thrombosis of left femoral vein,6
2621,Malignant neoplasm of connective and other soft tissue of pelvis,6
2622,Burn of unspecified degree of thigh (any part),6
2623,"Maternal care for disproportion due to unusually large fetus, not applicable or unspecified",6
2624,"Inguinal hernia without mention of obstruction or gangrene, recurrent bilateral",6
2625,Other specified symptoms and signs involving the digestive system and abdomen,6
2626,Other hemoptysis,6
2627,Other disturbance of temperature regulation of newborn,6
2628,"Encounter for supervision of other normal pregnancy, first trimester",6
2629,Dissection of vertebral artery,6
2630,Traumatic pneumothorax without mention of open wound into thorax,6
2631,Alzheimer's disease,6
2632,"Unspecified osteomyelitis, other specified site",6
2633,"Open bite, right thigh, initial encounter",6
2634,"Primary osteoarthritis, right ankle and foot",6
2635,Acute alcoholic hepatitis,6
2636,Sialoadenitis,6
2637,Other appendicitis,6
2638,Contact with and (suspected) exposure to other potentially hazardous chemicals,6
2639,Unspecified symptoms and signs involving general sensations and perceptions,6
2640,"Cardiac arrhythmia, unspecified",6
2641,Other malignant neuroendocrine tumors,6
2642,"Abdominal or pelvic swelling, mass or lump, periumbilic",6
2643,Delusional disorders,6
2644,"Open wound of other and unspecified parts of neck, without mention of complication",6
2645,Unspecified bacterial pneumonia,6
2646,"Hemiplegia, unspecified, affecting unspecified side",6
2647,"Obstructed labor due to incomplete rotation of fetal head, not applicable or unspecified",6
2648,Unspecified noninflammatory disorder of vagina,6
2649,"Hand(s) except finger(s) alone, superficial foreign body (splinter), without major open wound and without mention of infection",6
2650,Closed fracture of first cervical vertebra without mention of spinal cord injury,6
2651,Closed fracture of base of thumb (first) metacarpal bone(s),6
2652,"Unspecified pre-eclampsia, unspecified trimester",6
2653,Malignant melanoma of scalp and neck,6
2654,"Other and unspecified cerebral laceration and contusion, without mention of open intracranial wound, no loss of consciousness",6
2655,Unspecified examination,6
2656,"Open wound of shoulder region, without mention of complication",6
2657,"Primary osteoarthritis, left hand",6
2658,"Open bite of nose, initial encounter",6
2659,"Open wound of mouth, unspecified site, without mention of complication",6
2660,Crohn's disease of small intestine without complications,6
2661,"Foot and toe(s), blister, without mention of infection",6
2662,"Breakdown (mechanical) of implanted electronic neurostimulator, generator, initial encounter",6
2663,Gastrointestinal malfunction arising from mental factors,6
2664,Mild dysplasia of cervix,6
2665,"Peptic ulcer, site unspecified, unspecified as acute or chronic, without hemorrhage or perforation",6
2666,Late vomiting of pregnancy,6
2667,Closed fracture of head of radius,6
2668,"Chronic serous otitis media, left ear",6
2669,Metrorrhagia,6
2670,Unspecified coma,6
2671,Generalized edema,6
2672,"Displaced fracture of shaft of fourth metacarpal bone, right hand, initial encounter for closed fracture",6
2673,Gastroparesis,6
2674,"Superior glenoid labrum lesion of left shoulder, initial encounter",6
2675,Malignant neoplasm of long bones of left lower limb,6
2676,"Uterovaginal prolapse, complete",6
2677,Hypoplasia of breast,6
2678,"Posterior tibial tendinitis, right leg",6
2679,Concussion with loss of consciousness of 30 minutes or less,6
2680,"Other specified sprain of left wrist, initial encounter",6
2681,"Contusion of left hip, initial encounter",6
2682,"Traumatic pneumothorax, initial encounter",6
2683,"Poisoning by propionic acid derivatives, intentional self-harm, initial encounter",6
2684,Pseudocyst of pancreas,6
2685,Acute prostatitis,6
2686,Aneurysm of other specified arteries,6
2687,Observation for suspected abuse and neglect,6
2688,Respiratory arrest,6
2689,"Traumatic subdural hemorrhage with loss of consciousness of unspecified duration, initial encounter",6
2690,"Unspecified B-cell lymphoma, unspecified site",6
2691,Other specified disorder of the esophagus,6
2692,"Open bite of right upper arm, initial encounter",6
2693,Other reaction to spinal and lumbar puncture,6
2694,"Rhesus isoimmunization affecting management of mother, antepartum condition",5
2695,Occlusion and stenosis of carotid artery with cerebral infarction,5
2696,"Other cervical disc disorders, mid-cervical region",5
2697,"Malignant neoplasm of anus, unspecified",5
2698,Polyp of nasal cavity,5
2699,"Polycythemia, secondary",5
2700,"Juvenile osteochondrosis of lower extremity, excluding foot",5
2701,"Malignant neoplasm of connective and soft tissue of right upper limb, including shoulder",5
2702,Poisoning by central nervous system muscle-tone depressants,5
2703,Crushing injury of toe(s),5
2704,"Squamous cell carcinoma of skin of left upper limb, including shoulder",5
2705,Closed fracture of distal phalanx or phalanges of hand,5
2706,"Malignant neoplasm of connective and soft tissue of left lower limb, including hip",5
2707,"Unspecified open wound of nose, initial encounter",5
2708,Ulcer of ankle,5
2709,"Unspecified hypertension, postpartum condition or complication",5
2710,"Chronic kidney disease, stage 5",5
2711,Crushing injury of hand(s),5
2712,"Other joint derangement, not elsewhere classified, hand",5
2713,"Dysphagia, pharyngeal phase",5
2714,Intussusception,5
2715,"Other, mixed, or unspecified nondependent drug abuse, unspecified",5
2716,Contusion of knee,5
2717,Attention to other artificial opening of digestive tract,5
2718,"Otitis media, unspecified, unspecified ear",5
2719,Presence of other vascular implants and grafts,5
2720,"Other specified forms of effusion, except tuberculous",5
2721,"Other joint derangement, not elsewhere classified, forearm",5
2722,Type 1 diabetes mellitus with hyperglycemia,5
2723,"Contusion of nose, initial encounter",5
2724,"Mild or unspecified pre-eclampsia, with delivery",5
2725,"Disease of esophagus, unspecified",5
2726,Tibialis tendinitis,5
2727,Ulcerative (chronic) proctosigmoiditis,5
2728,Contact with and (suspected) exposure to potentially hazardous body fluids,5
2729,Nonspecific elevation of levels of transaminase and lactic acid dehydrogenase (ldh),5
2730,Cutaneous abscess of chest wall,5
2731,Anterior subcapsular polar senile cataract,5
2732,Neoplasm of uncertain behavior of other specified sites,5
2733,Secondary malignant neoplasm of lung,5
2734,Unspecified effects of heat and light,5
2735,Closed fracture of calcaneus,5
2736,Benign lipomatous neoplasm of other sites,5
2737,"Spotting complicating pregnancy, third trimester",5
2738,"Periprosthetic fracture around internal prosthetic left knee joint, initial encounter",5
2739,"Discitis, unspecified, lumbar region",5
2740,Apnea,5
2741,Encounter for attention to tracheostomy,5
2742,Acute cystitis,5
2743,"Procedure and treatment not carried out, unspecified reason",5
2744,"Abdominal aortic aneurysm, without rupture",5
2745,"Other cervical disc degeneration, mid-cervical region",5
2746,Anoxic brain damage,5
2747,"Poisoning by selective serotonin reuptake inhibitors, intentional self-harm, initial encounter",5
2748,"Pain due to nervous system prosthetic devices, implants and grafts, initial encounter",5
2749,Other acquired deformities of right foot,5
2750,"Open wound of back, without mention of complication",5
2751,Other physical therapy,5
2752,"Unspecified open wound of abdominal wall, unspecified quadrant without penetration into peritoneal cavity, initial encounter",5
2753,Respiratory distress syndrome of newborn,5
2754,"Contusion of right eyelid and periocular area, initial encounter",5
2755,"Lipodystrophy, not elsewhere classified",5
2756,Allergic urticaria,5
2757,"Other abnormalities in shape or position of gravid uterus and of neighboring structures, antepartum",5
2758,"Trigger finger, left index finger",5
2759,Cellulitis of abdominal wall,5
2760,"Pregnancy related conditions, unspecified, first trimester",5
2761,Encounter for fitting and adjustment of other devices related to nervous system and special senses,5
2762,Stenosis of larynx,5
2763,Other hypotension,5
2764,Osteochondritis dissecans,5
2765,"Injury, poisoning and certain other consequences of external causes complicating pregnancy, unspecified trimester",5
2766,Unspecified pelvic joint derangement,5
2767,"Other specified injuries of abdomen, initial encounter",5
2768,Benign neoplasm of adrenal gland,5
2769,Closed anterior dislocation of humerus,5
2770,"Contusion of left elbow, initial encounter",5
2771,Squamous cell carcinoma of skin of lip,5
2772,"Localization-related (focal) (partial) epilepsy and epileptic syndromes with complex partial seizures, without mention of intrac",5
2773,"Open wound of wrist, with tendon involvement",5
2774,"Crushing injury of left little finger, initial encounter",5
2775,Hereditary hemochromatosis,5
2776,Right upper quadrant abdominal tenderness,5
2777,Dissection of carotid artery,5
2778,"Poisoning by other antiepileptic and sedative-hypnotic drugs, intentional self-harm, initial encounter",5
2779,Poisoning by heroin,5
2780,"Displaced fracture of base of neck of left femur, initial encounter for closed fracture",5
2781,Closed fracture of unspecified part of tibia,5
2782,Atypical squamous cells cannot exclude high grade squamous intraepithelial lesion on cytologic smear of cervix (ASC-H),5
2783,Diseases of the digestive system complicating childbirth,5
2784,"Other specified dorsopathies, sacral and sacrococcygeal region",5
2785,"Dislocation of internal left hip prosthesis, initial encounter",5
2786,"Foreign body in other parts of alimentary tract, initial encounter",5
2787,Pelvic varices,5
2788,"Paralysis of vocal cords and larynx, unilateral",5
2789,Other mucopurulent conjunctivitis,5
2790,Other specified disorders of adrenal gland,5
2791,Hyperosmolality and hypernatremia,5
2792,"Premature separation of placenta, unspecified, third trimester",5
2793,"Unspecified maternal hypertension, complicating the puerperium",5
2794,Unspecified cord compression,5
2795,Squamous cell carcinoma of skin of ear and external auditory canal,5
2796,Pyrexia of unknown origin following delivery,5
2797,Other complications of amputation stump,5
2798,"Derangement of meniscus, not elsewhere classified",5
2799,Nontraumatic rupture of tendons of biceps (long head),5
2800,Encounter for surgical aftercare following surgery on the circulatory system,5
2801,"Superficial foreign body, right foot, initial encounter",5
2802,"Type II or unspecified type diabetes mellitus with renal manifestations, uncontrolled",5
2803,"Unspecified perforation of tympanic membrane, left ear",5
2804,"Visual discomfort, unspecified",5
2805,"Other fracture of left lower leg, initial encounter for closed fracture",5
2806,"Articular disc disorder of temporomandibular joint, unspecified side",5
2807,Other abnormal findings on antenatal screening of mother,5
2808,"Multiple gestation with malpresentation of one fetus or more, antepartum",5
2809,"Crushing injury of left ring finger, initial encounter",5
2810,"Other specified disorders of bone, lower leg",5
2811,Other specified disorders of thyroid,5
2812,"Other mechanical complication of cystostomy catheter, initial encounter",5
2813,"Nontraumatic intracerebral hemorrhage, intraventricular",5
2814,"Maternal care for other abnormalities of cervix, third trimester",5
2815,"Other specified disorders of bone, other site",5
2816,"Insect bite (nonvenomous), right foot, initial encounter",5
2817,Hernia of unspecified site of abdominal cavity without mention of obstruction or gangrene,5
2818,Dyskinesia of esophagus,5
2819,"Nontraumatic intracranial hemorrhage, unspecified",5
2820,"Disease of appendix, unspecified",5
2821,Diaphragmatic hernia with obstruction,5
2822,"Ataxia, unspecified",5
2823,Acute vascular disorders of intestine,5
2824,"Intervertebral disc disorders with radiculopathy, thoracic region",5
2825,"Arteriovenous malformation, other site",5
2826,"Abrasion of right upper arm, initial encounter",5
2827,"Unspecified dislocation of left patella, initial encounter",5
2828,Generalized convulsive epilepsy without mention of intractable epilepsy,5
2829,"Medial epicondylitis, left elbow",5
2830,"Calcaneal spur, right foot",5
2831,"Other psychoactive substance abuse, uncomplicated",5
2832,Mastitis without abscess,5
2833,"Open bite of left forearm, initial encounter",5
2834,"Traumatic hemorrhage of left cerebrum without loss of consciousness, initial encounter",5
2835,"Abrasion of right forearm, initial encounter",5
2836,Other internal derangements of right knee,5
2837,"Other antepartum hemorrhage, antepartum",5
2838,"Abnormal findings on diagnostic imaging of skull and head, not elsewhere classified",5
2839,"Burn of second degree of right hand, unspecified site, initial encounter",5
2840,Secondary malignant neoplasm of other specified sites,5
2841,"Breech presentation without mention of version, delivered",5
2842,"Unspecified fracture of upper end of right humerus, initial encounter for closed fracture",5
2843,Unspecified intracranial hemorrhage,5
2844,Wegener's granulomatosis,5
2845,"Gastritis, unspecified, without bleeding",5
2846,"Mild or unspecified pre-eclampsia, postpartum condition or complication",5
2847,Other mechanical complication of prosthetic joint implant,5
2848,Closed dislocation of patella,5
2849,"Subdural hemorrhage following injury, without mention of open intracranial wound, brief (less than one hour) loss of consciousne",5
2850,Chronic or unspecified gastric ulcer with hemorrhage,5
2851,Other specified disorders of gingiva and edentulous alveolar ridge,5
2852,"Open bite of right thumb without damage to nail, initial encounter",5
2853,"Other venous complication, antepartum",5
2854,"Osteomyelitis of vertebra, lumbar region",5
2855,Multiple myeloma in relapse,5
2856,Unspecified type of carcinoma in situ of left breast,5
2857,"Other specified injuries right forearm, initial encounter",5
2858,"Burn of unspecified degree of left hand, unspecified site, initial encounter",5
2859,Malignant neoplasm of nipple and areola of female breast,5
2860,"Unspecified fracture of fifth metacarpal bone, right hand, initial encounter for closed fracture",5
2861,Other internal derangements of left knee,5
2862,Biliary acute pancreatitis without necrosis or infection,5
2863,Mallet finger of right finger(s),5
2864,"Periprosthetic fracture around internal prosthetic left hip joint, initial encounter",5
2865,"Unspecified open wound, right lower leg, initial encounter",5
2866,Other and unspecified superficial injuries of eye,5
2867,Closed fracture of unspecified part of femur,5
2868,Sprain of carpal (joint) of wrist,5
2869,Acute on chronic diastolic (congestive) heart failure,5
2870,Hemangioma of unspecified site,5
2871,"Spotting complicating pregnancy, first trimester",5
2872,Acute and subacute necrosis of liver,5
2873,Other specified type of carcinoma in situ of right breast,5
2874,"Unspecified diabetes mellitus in pregnancy, third trimester",5
2875,"Pre-existing type 2 diabetes mellitus, in pregnancy, first trimester",5
2876,Other secondary thrombocytopenia,5
2877,Family history of malignant neoplasm of breast,5
2878,"Spondylosis, unspecified",5
2879,Other symptoms referable to upper arm joint,5
2880,Fecal urgency,5
2881,"Metatarsalgia, left foot",5
2882,Benign lipomatous neoplasm of skin and subcutaneous tissue of left arm,5
2883,"Contusion of left forearm, initial encounter",5
2884,Poisoning by salicylates,5
2885,Other specified intestinal obstruction,5
2886,Other septicemia due to Gram-negative organism,5
2887,Barrett's esophagus with low grade dysplasia,5
2888,"Maternal care for (suspected) fetal abnormality and damage, unspecified, not applicable or unspecified",5
2889,Cellulitis of left upper limb,5
2890,Derangement of anterior horn of lateral meniscus,5
2891,Other general medical examination for administrative purposes,5
2892,Chronic pansinusitis,5
2893,Hemoperitoneum,5
2894,Benign neoplasm of lower jaw bone,5
2895,"Orchitis and epididymitis, unspecified",5
2896,"Obstruction by bony pelvis during labor and delivery, antepartum",5
2897,"Toxic effect of venom of other arthropod, accidental (unintentional), initial encounter",5
2898,"Digestive-genital tract fistula, female",5
2899,Brachial plexus lesions,5
2900,"Contusion of left front wall of thorax, initial encounter",5
2901,"Unspecified diabetes mellitus in pregnancy, unspecified trimester",5
2902,"Unspecified dislocation of right shoulder joint, initial encounter",5
2903,Contusion of chest wall,5
2904,Benign neoplasm of left adrenal gland,5
2905,Sprain of medial collateral ligament of knee,5
2906,Open fracture of symphysis of body of mandible,5
2907,Hepatorenal syndrome,5
2908,"Breakdown (mechanical) of cystostomy catheter, initial encounter",5
2909,Other specified disorders of temporomandibular joint,5
2910,"Crushing injury of right index finger, initial encounter",5
2911,"Amyloidosis, unspecified",5
2912,Procedure and treatment not carried out because of other contraindication,5
